name,text,constituency
Romaguera Inc,Teloschistes Norman,55
Stiedemann-Dach,Agrostis perennans (Walter) Tuck.,55
Boehm LLC,Ravenia urbanii Engl. ex Urb.,55
"Weimann, Streich and Goldner",Juncus brevicaudatus (Engelm.) Fernald,55
Deckow-Kuvalis,Phlox colubrina Wherry & Constance,55
"Wilderman, Koelpin and Lehner",Townsendia glabella A. Gray,55
Turcotte Group,Diarrhena americana P. Beauv.,55
"Goodwin, Kassulke and Harris",Rumex acetosella L.,55
Collier-Ortiz,Polycnemum arvense L.,55
"Lubowitz, Emmerich and King",Carex blanda Dewey,55
Gusikowski-Gleason,Umbilicaria havaasii Llano,55
"Prosacco, Kiehn and Metz",Eriogonum hoffmannii S. Stokes var. hoffmannii,55
"Predovic, Zulauf and Schaden",Juncus alpinoarticulatus Chaix ssp. nodulosus (Wahlenb.) HÃ¤met-Ahti,55
Reilly and Sons,Lathyrus sylvestris L.,55
Heaney LLC,Lotus scoparius (Nutt.) Ottley var. brevialatus Ottley,55
"Sawayn, Skiles and Haley",Salix humboldtiana Willd.,55
Swift Inc,Muehlenbeckia Meisn.,55
Hansen-Klocko,Scutellaria ovata Hill ssp. rugosa (Alph. Wood) Epling,55
"Heller, Kris and Walter",Baccharis plummerae A. Gray,55
Kshlerin-Boyle,Navarretia intertexta (Benth.) Hook.,55
